id | date | time | ip | table | result count | run time | query
1 | 2024_01_02 | 14:24:39 | ::1 | users |  |  | SELECT * FROM users WHERE username = 'asdf' 
2 | 2024_01_02 | 14:25:22 | ::1 | users |  |  | SELECT * FROM users WHERE username = 'asdf' 
3 | 2024_01_02 | 14:25:22 | ::1 | log_user_logins |  |  | INSERT INTO log_user_logins (user_id,username,login_status,create_sess_id,create_ip) VALUES (0,'asdf',-1,0,'::1')
4 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_user_logins','15',1,0,'2024-01-02 02:25:22',0,'::1',0)
5 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','3',1,0,'2024-01-02 02:25:22',0,'::1',0)
6 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','4',1,0,'2024-01-02 02:25:22',0,'::1',0)
7 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','5',1,0,'2024-01-02 02:25:22',0,'::1',0)
8 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','6',1,0,'2024-01-02 02:25:22',0,'::1',0)
9 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','7',1,0,'2024-01-02 02:25:22',0,'::1',0)
10 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','8',1,0,'2024-01-02 02:25:22',0,'::1',0)
11 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','9',1,0,'2024-01-02 02:25:22',0,'::1',0)
12 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','10',1,0,'2024-01-02 02:25:22',0,'::1',0)
13 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','11',1,0,'2024-01-02 02:25:22',0,'::1',0)
14 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','12',1,0,'2024-01-02 02:25:22',0,'::1',0)
15 | 2024_01_02 | 14:25:22 | ::1 | log_record_audit |  |  | INSERT INTO log_record_audit (record_table,record_id,audit_type,audit_note,create_date,create_id,create_ip,create_sess_id) VALUES ('log_record_audit','13',1,0,'2024-01-02 02:25:22',0,'::1',0)
